id,date,revenue
593,2018-08-18,
594,2018-08-19,
595,2018-08-20,215503.18
596,2018-08-21,21474.6
597,2018-08-22,
598,2018-08-23,382150.7
599,2018-08-24,
600,2018-08-25,
601,2018-08-26,422217.95
602,2018-08-27,549955.64
603,2018-08-28,125872.38
604,2018-08-29,323716.09
605,2018-08-30,405579.35
606,2018-08-31,
607,2018-09-01,
608,2018-09-02,
609,2018-09-03,716693.51
610,2018-09-04,
611,2018-09-05,208623.49
612,2018-09-06,541577.54
613,2018-09-07,
614,2018-09-08,
615,2018-09-09,767015.64
616,2018-09-10,259784.04
617,2018-09-11,375612.16
618,2018-09-12,105352.26
619,2018-09-13,333823.18
620,2018-09-14,
621,2018-09-15,
622,2018-09-16,462060.14
623,2018-09-17,171339.61
624,2018-09-18,133928.27
625,2018-09-19,165999.08
626,2018-09-20,375879.59
627,2018-09-21,
628,2018-09-22,
629,2018-09-23,385041.68
630,2018-09-24,215809.09
631,2018-09-25,
632,2018-09-26,117615.55
633,2018-09-27,
634,2018-09-28,
635,2018-09-29,
636,2018-09-30,265427.91
637,2018-10-01,247952.21
638,2018-10-02,627013.13
639,2018-10-03,
640,2018-10-04,447990.98
641,2018-10-05,
642,2018-10-06,
643,2018-10-07,
644,2018-10-08,13287.8
645,2018-10-09,698209.31
646,2018-10-10,87982.63
647,2018-10-11,297647.9
648,2018-10-12,
649,2018-10-13,
650,2018-10-14,514238.64
651,2018-10-15,
652,2018-10-16,65926.42
653,2018-10-17,
654,2018-10-18,420209.79
655,2018-10-19,
656,2018-10-20,
657,2018-10-21,525591.8
658,2018-10-22,284451.42
659,2018-10-23,54391.11
660,2018-10-24,167636.81
661,2018-10-25,311546.41
662,2018-10-26,
663,2018-10-27,
664,2018-10-28,423186.02
665,2018-10-29,
666,2018-10-30,150857.07
667,2018-10-31,107757.03
668,2018-11-01,364597.33
669,2018-11-02,
670,2018-11-03,
671,2018-11-04,584591.97
672,2018-11-05,190499.8
673,2018-11-06,105900.85
674,2018-11-07,83771.79
675,2018-11-08,342701.92
676,2018-11-09,
677,2018-11-10,
678,2018-11-11,
679,2018-11-12,
680,2018-11-13,331741.5
681,2018-11-14,86009.47
682,2018-11-15,
683,2018-11-16,
684,2018-11-17,
685,2018-11-18,
686,2018-11-19,414140.9
687,2018-11-20,45357.63
688,2018-11-21,
689,2018-11-22,
690,2018-11-23,
691,2018-11-24,
692,2018-11-25,291026.63
693,2018-11-26,240936.49
694,2018-11-27,96689.29
695,2018-11-28,149713.48
696,2018-11-29,467049.77
697,2018-11-30,
698,2018-12-01,
699,2018-12-02,569046.8
700,2018-12-03,140328.6
701,2018-12-04,34664.65
702,2018-12-05,43485.51
703,2018-12-06,
704,2018-12-07,
705,2018-12-08,
706,2018-12-09,519625.03
707,2018-12-10,95389.01
708,2018-12-11,163607.54
709,2018-12-12,127689.31
710,2018-12-13,301048.74
711,2018-12-14,
712,2018-12-15,
713,2018-12-16,325916.73
714,2018-12-17,
715,2018-12-18,27050.78
716,2018-12-19,214987.52
717,2018-12-20,
718,2018-12-21,
719,2018-12-22,
720,2018-12-23,
721,2018-12-24,
722,2018-12-25,
723,2018-12-26,
724,2018-12-27,
725,2018-12-28,
726,2018-12-29,
727,2018-12-30,
728,2018-12-31,
729,2019-01-01,
730,2019-01-02,253538.37
731,2019-01-03,
732,2019-01-04,
733,2019-01-05,
734,2019-01-06,521382.65
735,2019-01-07,257611.58
