id,gl
316,1500330
317,4105206
318,4113404
319,4123639
320,4132706
321,4135131
322,4135870
323,4136630
324,4137176
325,4137178
326,4137824
327,4137826
328,4137832
329,4139166
330,4139170
331,4139178
332,4139180
333,4139878
334,4140869
335,4141601
336,4141607
337,4141650
338,4141654
339,4141992
340,4142281
341,4142659
342,4142661
343,4142663
344,4142731
345,4143071
346,4143305
347,4143637
348,4143639
349,4143641
350,4143645
351,4143647
352,4143649
353,4144388
354,4144414
355,4145286
356,4145533
357,4145535
358,4145537
359,4145539
360,4146283
361,4146285
362,4146510
363,4146512
364,4146758
365,4147468
366,4147632
367,4148323
368,4148325
369,4149641
370,4149643
371,4149647
372,4149923
373,4149925
374,4150726
375,4150941
376,4151663
377,4151710
378,4152598
379,4152958
380,4153891
381,4155928
382,4155972
383,4156342
384,4156346
385,4156617
386,4157493
387,4157495
388,4158163
389,4158165
390,4159362
391,4159370
392,4159372
393,4159374
394,4159376
395,4159382
396,4159384
397,4159386
398,4159714
399,510000
400,5100210
401,5100310
402,5100311
403,5100312
404,5100313
405,5100315
406,5100316
407,5100318
408,5100319
409,5100320
410,5100321
411,5100322
412,5100350
413,5100352
414,5100355
415,5100359
416,5100360
417,5100363
418,5100364
419,5100410
420,5100710
421,5100711
422,5100714
423,5100715
424,5100716
425,5100717
426,5100719
427,5100720
428,5300310
429,5300350
430,5300352
431,5300701
432,5400310
433,5400311
434,5400320
435,5400321
436,5400322
437,5400331
438,5400332
439,5400333
440,5400334
441,5400350
442,5400352
443,5400354
444,5400359
445,5400364
446,5400365
447,5400762
448,5650309
449,5650310
450,5650311
451,5650350
452,5650352
453,5650702
454,569501
455,5750310
456,5750350
457,5750352
458,5750364
459,5750410
460,5750701
461,5800210
462,5800310
463,5800321
464,5800350
465,5800352
466,5800760
467,5800761
468,5800762
469,5800845
470,5900210
471,5900310
472,5900312
473,5900320
474,5900350
475,5900351
476,5900352
477,5900355
478,5900360
479,5900361
480,5900364
481,5900410
482,5900800
483,5900810
484,5950210
485,5950310
486,5950320
487,5950321
488,5950350
489,5950610
490,6010175
491,6010210
492,6010230
493,6010330
494,6010350
495,6010805
496,6010806
497,6010810
498,6010875
499,6010888
500,6020210
501,6070230
502,E
